,angle,distance,time
0,63.9375,1.70475,0.7801251411437988
1,65.015625,1.6955,0.7801303863525391
2,66.125,1.67175,0.7801318168640137
3,67.21875,1.63975,0.7801327705383301
4,68.328125,1.62175,0.7801342010498047
5,69.421875,1.6075,0.780134916305542
6,70.46875,1.6535,0.7801356315612793
7,71.5,1.70075,0.7801361083984375
8,101.1875,4.85675,0.7801368236541748
9,102.28125,4.80225,0.7801377773284912
10,103.34375,4.83775,0.7801382541656494
11,134.53125,4.3505,0.7801387310028076
12,142.140625,3.7825,0.7801394462585449
13,143.1875,3.71275,0.7801399230957031
14,144.265625,3.749,0.7801406383514404
15,161.703125,3.1175,0.7801411151885986
16,162.59375,5.6945,0.7801425457000732
17,163.671875,5.51925,0.7801432609558105
18,166.015625,3.1715,0.7801437377929688
19,167.109375,3.17675,0.7801446914672852
20,169.25,3.18875,0.7801451683044434
21,170.359375,3.201,0.7801456451416016
22,171.421875,3.2565,0.7801461219787598
23,173.40625,5.334,0.7801468372344971
24,174.5,5.28825,0.7801485061645508
25,175.5625,5.26325,0.7801492214202881
26,176.65625,5.23425,0.7801496982574463
27,184.53125,2.76375,0.7801504135131836
28,186.65625,2.9075,0.7801513671875
29,187.765625,2.9655,0.7801518440246582
30,188.765625,3.47275,0.7801525592803955
31,190.859375,4.19525,0.7801527976989746
32,198.140625,1.274,0.780153751373291
33,199.75,2.58025,0.7801547050476074
34,200.875,2.25125,0.7801551818847656
35,202.0,2.2705,0.7801556587219238
36,203.03125,2.40475,0.7801563739776611
37,204.078125,2.43075,0.7801566123962402
38,205.140625,2.4575,0.7801570892333984
39,207.0,5.382,0.7801575660705566
40,209.109375,1.1225,0.7801587581634521
41,210.15625,1.12375,0.7801594734191895
42,211.28125,1.125,0.7801599502563477
43,212.359375,1.13325,0.7801604270935059
44,213.984375,0.81675,0.7801611423492432
45,215.078125,0.807,0.7801620960235596
46,216.140625,0.78125,0.7801625728607178
47,217.3125,0.77575,0.7801632881164551
