,angle,distance,unix_time,robot_x,robot_y,robot_dir,x,y
0,2.265625,0.65875,1777323600.5821586,-0.2581940336102673,-0.22622805292305412,2.24860327303811,-0.38787975254618035,-0.8720865334000665
1,3.421875,0.64775,1777323600.5920677,-0.2582205866916237,-0.22630220840266455,2.266248686312497,0.2781902297530601,-0.5894048089182046
2,4.828125,0.63925,1777323600.6019766,-0.2580409095645191,-0.22676776033200127,2.283552688308824,0.17408410744496566,0.2443039244194307
3,5.9375,0.6335,1777323600.6118858,-0.2578540228986028,-0.22724699807165957,2.3008451933177234,-0.49539701649778134,0.3600311099759166
4,7.265625,0.6255,1777323600.621795,-0.2576671362326866,-0.2277262358113179,2.3181376983266224,-0.8752786582094714,-0.326752787409965
5,8.5,0.6195,1777323600.631704,-0.25748024956677035,-0.22820547355097623,2.3354302033355214,-0.3562659976242287,-0.8397785484821151
6,9.59375,0.61275,1777323600.641613,-0.2572933673974295,-0.22868469975996375,2.3527222922791444,0.24144685466270105,-0.5846632853510239
7,10.953125,0.60825,1777323600.6515222,-0.25710648073151326,-0.22916393749962208,2.370014797288044,0.18512654962581132,0.1884459394920238
8,12.109375,0.6025,1777323600.6614313,-0.256919594065597,-0.2296431752392804,2.387307302296943,-0.4688915175888801,0.33433745708583723
9,13.296875,0.59775,1777323600.6713405,-0.2567327073996808,-0.23012241297893873,2.404599807305842,-0.8544701247700065,-0.22624396284351572
10,14.671875,0.592,1777323600.6812494,-0.2565458252303399,-0.23060163918792626,2.421891896249465,-0.3654379243426289,-0.8125006946528062
11,15.78125,0.588,1777323600.6911583,-0.25635894306099904,-0.23108086539691378,2.439183985193088,0.21906522490991026,-0.577080663820509
12,17.125,0.5835,1777323600.7010677,-0.25617205189850745,-0.23156011466724288,2.4564769062672633,0.17788891950147168,0.15839286084045415
13,18.234375,0.58075,1777323600.7109766,-0.2559851697291666,-0.23203934087623043,2.4737689952108863,-0.42082262740381904,0.3248261501064279
14,19.59375,0.57825,1777323600.7208858,-0.2557982830632503,-0.23251857861588876,2.491061500219786,-0.8315137173258615,-0.2866000102889971
15,20.671875,0.6045,1777323600.730795,-0.2556113963973341,-0.23299781635554706,2.508354005228685,-0.4807957558609807,-0.7939900215179247
16,25.296875,1.35575,1777323600.740704,-0.25542450973141784,-0.2334770540952054,2.525646510237584,-1.4751349003791987,0.35843900874296253
17,26.546875,1.33975,1777323600.750613,-0.255237627562077,-0.2339562803041929,2.542938599181207,-1.1736619922445681,-1.2093673469102482
18,27.78125,1.3425,1777323600.760522,-0.25505074539273614,-0.23443550651318043,2.56023068812483,0.38427406359643573,-1.414931181478133
