angle,distance,unix_time
335.109375,0.5185,1777320218.675483
336.40625,0.507,1777320218.6794624
337.65625,0.49625,1777320218.683442
338.984375,0.48525,1777320218.6874216
340.1875,0.475,1777320218.6914012
341.328125,0.4665,1777320218.6953807
342.890625,0.457,1777320218.6993601
344.109375,0.449,1777320218.7033398
345.171875,0.44175,1777320218.7073193
346.421875,0.43425,1777320218.711299
347.6875,0.428,1777320218.7152784
349.203125,0.42175,1777320218.719258
350.5,0.416,1777320218.7232375
351.546875,0.40975,1777320218.727217
352.78125,0.40475,1777320218.7311966
354.078125,0.4,1777320218.735176
355.484375,0.39575,1777320218.7391558
356.46875,0.391,1777320218.7431352
358.046875,0.38625,1777320218.7471147
359.15625,0.383,1777320218.7510943
0.390625,0.379,1777320218.7550738
1.59375,0.3765,1777320218.7590535
3.078125,0.3735,1777320218.763033
3.984375,0.3705,1777320218.7670124
6.546875,0.365,1777320218.770992
7.46875,0.37175,1777320218.7749715
9.234375,0.3615,1777320218.7789512
10.109375,0.36,1777320218.7829306
11.453125,0.35825,1777320218.7869103
12.6875,0.35625,1777320218.7908897
14.046875,0.35575,1777320218.7948692
15.1875,0.35475,1777320218.7988489
16.296875,0.3545,1777320218.8028283
17.859375,0.35275,1777320218.806808
19.125,0.35225,1777320218.8107874
20.375,0.3515,1777320218.814767
21.234375,0.35175,1777320218.8187466
22.46875,0.351,1777320218.822726
23.96875,0.35175,1777320218.8267057
24.921875,0.3515,1777320218.8306851
25.890625,0.352,1777320218.8346648
27.453125,0.35275,1777320218.8386443
28.796875,0.354,1777320218.8426237
29.953125,0.3545,1777320218.8466034
31.015625,0.356,1777320218.8505828
32.203125,0.35775,1777320218.8545625
33.53125,0.35875,1777320218.858542
34.5625,0.36025,1777320218.8625214
35.453125,0.362,1777320218.866501
36.703125,0.36375,1777320218.8704805
38.375,0.36575,1777320218.8744602
39.4375,0.36825,1777320218.8784397
40.359375,0.3705,1777320218.882419
41.609375,0.37375,1777320218.8863988
42.609375,0.37675,1777320218.8903782
43.796875,0.38025,1777320218.894358
45.125,0.38325,1777320218.8983374
46.203125,0.38625,1777320218.902317
47.5,0.39,1777320218.9062965
48.5,0.3945,1777320218.910276
50.0,0.39875,1777320218.9142556
50.859375,0.403,1777320218.918235
52.421875,0.4075,1777320218.9222147
53.421875,0.4125,1777320218.9261942
54.5625,0.418,1777320218.9301736
55.59375,0.424,1777320218.9341533
56.859375,0.4295,1777320218.9381328
57.84375,0.43675,1777320218.9421124
59.15625,0.44325,1777320218.946092
60.375,0.45025,1777320218.9500713
61.484375,0.45675,1777320218.954051
66.953125,0.2365,1777320218.9580305
65.109375,0.4835,1777320218.9620101
66.28125,0.493,1777320218.9659896
67.5625,0.49625,1777320218.9699693
69.78125,0.53025,1777320218.9739487
70.765625,0.53775,1777320218.9779282
72.0625,0.551,1777320218.9819078
73.25,0.56475,1777320218.9858873
74.234375,0.5785,1777320218.989867
75.4375,0.59475,1777320218.9938464
76.65625,0.61125,1777320218.9978259
77.6875,0.627,1777320219.0018055
87.34375,0.41875,1777320219.005785
91.265625,1.01025,1777320219.0097647
92.421875,1.069,1777320219.013744
94.703125,1.21325,1777320219.0177236
95.84375,1.287,1777320219.0217032
96.953125,1.38375,1777320219.0256827
99.828125,1.0025,1777320219.0296624
101.0625,1.003,1777320219.0336418
102.1875,0.9975,1777320219.0376215
103.421875,0.99025,1777320219.041601
104.625,0.98425,1777320219.0455804
105.890625,0.9735,1777320219.04956
107.0625,0.98425,1777320219.0535395
118.828125,1.42175,1777320219.0575192
120.015625,1.416,1777320219.0614986
121.1875,1.46875,1777320219.065478
124.859375,1.44525,1777320219.0694578
132.515625,6.1235,1777320219.0734372
149.34375,1.08525,1777320219.077417
150.578125,1.072,1777320219.0813963
151.78125,1.042,1777320219.085376
153.078125,0.99875,1777320219.0893555
154.328125,0.9915,1777320219.093335
155.609375,0.9745,1777320219.0973146
156.890625,0.9675,1777320219.101294
158.015625,0.96125,1777320219.1052737
159.28125,0.95125,1777320219.1092532
160.5625,0.92325,1777320219.1132326
161.734375,0.93025,1777320219.1172123
162.921875,0.92675,1777320219.1211917
164.1875,0.90925,1777320219.1251714
165.453125,0.909,1777320219.1291509
166.546875,0.94075,1777320219.1331303
167.875,0.916,1777320219.13711
169.046875,0.914,1777320219.1410894
170.21875,0.919,1777320219.1450691
171.46875,0.9305,1777320219.1490486
172.703125,0.9445,1777320219.1530282
173.84375,0.94975,1777320219.1570077
177.4375,5.792,1777320219.1609871
178.5625,5.85525,1777320219.1649668
184.65625,5.544,1777320219.1689463
187.0625,5.5105,1777320219.172926
188.265625,5.35325,1777320219.1769054
189.46875,5.3505,1777320219.1808848
190.703125,5.35175,1777320219.1848645
193.28125,3.19425,1777320219.188844
201.734375,3.232,1777320219.1928236
203.046875,3.2545,1777320219.196803
204.265625,3.26675,1777320219.2007825
205.453125,3.30425,1777320219.2047622
206.671875,3.2905,1777320219.2087417
213.953125,3.2805,1777320219.2127213
215.1875,3.27525,1777320219.2167008
216.40625,3.272,1777320219.2206805
217.609375,3.2565,1777320219.22466
218.84375,3.259,1777320219.2286394
220.015625,3.254,1777320219.232619
231.546875,1.46325,1777320219.2365985
232.796875,1.40375,1777320219.2405782
235.328125,1.299,1777320219.2445576
236.578125,1.25875,1777320219.248537
238.078125,1.038,1777320219.2525167
239.28125,1.04025,1777320219.2564962
240.484375,1.049,1777320219.2604759
241.671875,1.06325,1777320219.2644553
242.890625,1.03025,1777320219.2684348
244.140625,1.00475,1777320219.2724144
247.421875,0.664,1777320219.276394
248.734375,0.64025,1777320219.2803736
249.859375,0.61675,1777320219.284353
251.34375,0.593,1777320219.2883327
252.578125,0.57425,1777320219.2923121
253.984375,0.557,1777320219.2962916
255.109375,0.539,1777320219.3002713
256.484375,0.523,1777320219.3042507
257.734375,0.50875,1777320219.3082304
258.921875,0.495,1777320219.3122098
260.5,0.483,1777320219.3161893
261.671875,0.47075,1777320219.320169
262.765625,0.4605,1777320219.3241484
264.140625,0.44875,1777320219.328128
265.453125,0.43675,1777320219.3321075
266.90625,0.4295,1777320219.3360872
267.875,0.4275,1777320219.3400667
269.296875,0.42625,1777320219.344046
270.375,0.4355,1777320219.3480258
271.5,0.44775,1777320219.3520052
272.609375,0.46025,1777320219.355985
273.9375,0.47475,1777320219.3599644
274.875,0.48775,1777320219.3639438
276.03125,0.50575,1777320219.3679235
276.984375,0.52125,1777320219.371903
278.140625,0.54025,1777320219.3758826
279.234375,0.56075,1777320219.379862
280.296875,0.5815,1777320219.3838415
281.578125,0.60275,1777320219.3878212
282.5625,0.64025,1777320219.3918006
283.8125,0.655,1777320219.3957803
284.75,0.7075,1777320219.3997598
287.640625,1.1355,1777320219.4037395
288.875,1.12225,1777320219.407719
290.140625,1.114,1777320219.4116983
291.375,1.12275,1777320219.415678
292.5,1.12175,1777320219.4196575
293.765625,1.12275,1777320219.4236372
294.921875,1.12225,1777320219.4276166
296.21875,1.1235,1777320219.431596
297.390625,1.12225,1777320219.4355757
298.578125,1.129,1777320219.4395552
300.046875,0.953,1777320219.4435349
301.25,0.9115,1777320219.4475143
302.46875,0.92,1777320219.4514937
303.65625,0.92475,1777320219.4554734
304.921875,0.93775,1777320219.4594529
306.109375,0.94725,1777320219.4634326
309.3125,0.41225,1777320219.467412
313.71875,0.36475,1777320219.4713917
329.890625,0.59325,1777320219.4753711
331.265625,0.5775,1777320219.4793506
332.5625,0.561,1777320219.4833302
333.765625,0.5465,1777320219.4873097
335.109375,0.53325,1777320219.4912894
336.453125,0.522,1777320219.4952688
337.546875,0.51,1777320219.4992483
338.875,0.50075,1777320219.503228
340.3125,0.49075,1777320219.5072074
341.34375,0.48075,1777320219.511187
342.765625,0.471,1777320219.5151665
344.109375,0.4635,1777320219.519146
345.25,0.45525,1777320219.5231256
346.671875,0.44825,1777320219.527105
347.828125,0.44125,1777320219.5310848
349.15625,0.43525,1777320219.5350642
350.546875,0.428,1777320219.539044
351.640625,0.42325,1777320219.5430233
353.03125,0.41775,1777320219.5470028
354.3125,0.41275,1777320219.5509825
355.421875,0.408,1777320219.554962
356.609375,0.404,1777320219.5589416
357.921875,0.40025,1777320219.562921
359.0625,0.39625,1777320219.5669005
0.28125,0.39225,1777320219.5708802
1.8125,0.3895,1777320219.5748596
3.0625,0.38575,1777320219.5788393
4.1875,0.383,1777320219.5828187
7.859375,0.37625,1777320219.5867984
9.03125,0.374,1777320219.5907779
10.28125,0.37225,1777320219.5947573
11.65625,0.37075,1777320219.598737
12.828125,0.37025,1777320219.6027164
14.125,0.369,1777320219.6066961
15.234375,0.36775,1777320219.6106756
16.5625,0.3675,1777320219.614655
17.796875,0.3655,1777320219.6186347
19.09375,0.36475,1777320219.6226141
20.15625,0.3645,1777320219.6265938
21.546875,0.36425,1777320219.6305733
22.78125,0.3645,1777320219.6345527
23.5,0.365,1777320219.6385324
25.28125,0.365,1777320219.6425118
25.953125,0.366,1777320219.6464915
27.4375,0.3665,1777320219.650471
28.78125,0.3675,1777320219.6544507
29.65625,0.369,1777320219.65843
30.953125,0.3695,1777320219.6624095
32.171875,0.372,1777320219.6663892
33.4375,0.37275,1777320219.6703687
34.5,0.3745,1777320219.6743484
35.546875,0.3765,1777320219.6783278
36.984375,0.378,1777320219.6823072
38.09375,0.38025,1777320219.686287
39.265625,0.3835,1777320219.6902664
40.46875,0.38625,1777320219.694246
41.546875,0.38825,1777320219.6982255
