timestamp_us,ax,ay,az,gx,gy,gz
1777323588.5910804,-0.08,-0.19,9.69,-0.08,-0.19,9.69
1777323588.6050844,-0.08,-0.34,9.73,-0.08,-0.34,9.73
1777323588.6180813,-0.11,-0.3,9.69,-0.11,-0.3,9.69
1777323588.6320832,-0.08,-0.34,9.69,-0.08,-0.34,9.69
1777323588.6460836,-0.08,-0.3,9.65,-0.08,-0.3,9.65
1777323588.6600826,-0.08,-0.23,9.73,-0.08,-0.23,9.73
1777323588.673085,-0.11,-0.27,9.65,-0.11,-0.27,9.65
1777323588.6870837,-0.15,-0.3,9.69,-0.15,-0.3,9.69
1777323588.7010977,-0.11,-0.34,9.73,-0.11,-0.34,9.73
1777323588.7150686,0.0,-0.3,9.69,0.0,-0.3,9.69
1777323588.7289476,-0.08,-0.38,9.69,-0.08,-0.38,9.69
1777323588.74287,-0.11,-0.23,9.69,-0.11,-0.23,9.69
1777323588.7570896,-0.11,-0.42,9.65,-0.11,-0.42,9.65
1777323588.7710853,-0.04,-0.27,9.69,-0.04,-0.27,9.69
1777323588.7840881,-0.04,-0.27,9.73,-0.04,-0.27,9.73
1777323588.7978878,-0.08,-0.3,9.69,-0.08,-0.3,9.69
1777323588.812087,-0.08,-0.19,9.65,-0.08,-0.19,9.65
1777323588.8260913,-0.15,-0.38,9.69,-0.15,-0.38,9.69
1777323588.840089,-0.08,-0.3,9.69,-0.08,-0.3,9.69
1777323588.8530788,0.0,-0.3,9.69,0.0,-0.3,9.69
1777323588.8670897,-0.04,-0.23,9.69,-0.04,-0.23,9.69
1777323588.8810918,-0.08,-0.23,9.73,-0.08,-0.23,9.73
1777323588.895092,-0.11,-0.38,9.73,-0.11,-0.38,9.73
1777323588.9080923,-0.08,-0.27,9.69,-0.08,-0.27,9.69
1777323588.9220936,-0.08,-0.34,9.69,-0.08,-0.34,9.69
1777323588.9360983,-0.04,-0.15,9.69,-0.04,-0.15,9.69
1777323588.9500976,-0.11,-0.27,9.69,-0.11,-0.27,9.69
1777323588.9631174,-0.11,-0.27,9.69,-0.11,-0.27,9.69
1777323588.9771025,-0.11,-0.27,9.69,-0.11,-0.27,9.69
1777323588.9911003,-0.04,-0.38,9.69,-0.04,-0.38,9.69
1777323589.005123,-0.04,-0.15,9.73,-0.04,-0.15,9.73
1777323589.0189154,-0.11,-0.3,9.69,-0.11,-0.3,9.69
1777323589.0321074,-0.08,-0.3,9.73,-0.08,-0.3,9.73
1777323589.0470982,-0.04,-0.3,9.69,-0.04,-0.3,9.69
1777323589.0610998,-0.08,-0.34,9.69,-0.08,-0.34,9.69
1777323589.0741014,-0.08,-0.42,9.73,-0.08,-0.42,9.73
1777323589.0871074,-0.15,-0.27,9.65,-0.15,-0.27,9.65
1777323589.1021092,-0.15,-0.3,9.65,-0.15,-0.3,9.65
1777323589.1160998,-0.08,-0.34,9.69,-0.08,-0.34,9.69
1777323589.1291049,-0.04,-0.23,9.73,-0.04,-0.23,9.73
1777323589.1428263,-0.08,-0.34,9.69,-0.08,-0.34,9.69
1777323589.1571064,-0.11,-0.23,9.69,-0.11,-0.23,9.69
1777323589.1711035,-0.11,-0.34,9.69,-0.11,-0.34,9.69
1777323589.1851065,-0.08,-0.34,9.69,-0.08,-0.34,9.69
1777323589.1981134,-0.04,-0.23,9.69,-0.04,-0.23,9.69
1777323589.2121198,-0.08,-0.38,9.69,-0.08,-0.38,9.69
1777323589.2261183,-0.08,-0.19,9.73,-0.08,-0.19,9.73
1777323589.2401142,-0.19,-0.38,9.69,-0.19,-0.38,9.69
1777323589.2531106,-0.11,-0.15,9.69,-0.11,-0.15,9.69
1777323589.2671144,-0.04,-0.3,9.77,-0.04,-0.3,9.77
1777323589.281111,-0.04,-0.23,9.73,-0.04,-0.23,9.73
1777323589.2998607,-0.08,-0.23,9.69,-0.08,-0.23,9.69
1777323589.3141248,-0.11,-0.42,9.73,-0.11,-0.42,9.73
1777323589.3281152,-0.08,-0.27,9.69,-0.08,-0.27,9.69
1777323589.3421211,-0.11,-0.3,9.73,-0.11,-0.3,9.73
1777323589.355915,-0.08,-0.19,9.69,-0.08,-0.19,9.69
1777323589.3691232,-0.11,-0.3,9.73,-0.11,-0.3,9.73
1777323589.3841176,-0.15,-0.34,9.69,-0.15,-0.34,9.69
1777323589.3981173,-0.08,-0.23,9.65,-0.08,-0.23,9.65
1777323589.4111037,0.0,-0.38,9.73,0.0,-0.38,9.73
1777323589.4241195,-0.04,-0.15,9.69,-0.04,-0.15,9.69
1777323589.4391212,-0.11,-0.3,9.65,-0.11,-0.3,9.65
1777323589.453135,-0.11,-0.34,9.73,-0.11,-0.34,9.73
1777323589.466141,-0.08,-0.3,9.69,-0.08,-0.3,9.69
1777323589.4791355,-0.04,-0.3,9.69,-0.04,-0.3,9.69
1777323589.4941273,-0.04,-0.19,9.69,-0.04,-0.19,9.69
1777323589.5081255,-0.11,-0.3,9.69,-0.11,-0.3,9.69
1777323589.5221283,-0.11,-0.3,9.73,-0.11,-0.3,9.73
1777323589.5351262,-0.11,-0.34,9.73,-0.11,-0.34,9.73
1777323589.5491257,-0.04,-0.34,9.69,-0.04,-0.34,9.69
1777323589.5631263,-0.04,-0.19,9.73,-0.04,-0.19,9.73
1777323589.5771282,-0.11,-0.3,9.69,-0.11,-0.3,9.69
1777323589.5901294,-0.11,-0.3,9.65,-0.11,-0.3,9.65
1777323589.6041296,-0.08,-0.34,9.73,-0.08,-0.34,9.73
1777323589.618162,-0.04,-0.27,9.73,-0.04,-0.27,9.73
1777323589.632128,-0.08,-0.27,9.73,-0.08,-0.27,9.73
1777323589.6459122,-0.11,-0.23,9.65,-0.11,-0.23,9.65
1777323589.6591296,-0.19,-0.34,9.65,-0.19,-0.34,9.65
1777323589.6741319,-0.11,-0.38,9.69,-0.11,-0.38,9.69
1777323589.6881337,-0.04,-0.23,9.69,-0.04,-0.23,9.69
1777323589.701146,-0.04,-0.3,9.69,-0.04,-0.3,9.69
1777323589.7141297,-0.08,-0.19,9.65,-0.08,-0.19,9.65
1777323589.729136,-0.15,-0.38,9.69,-0.15,-0.38,9.69
1777323589.7431352,-0.08,-0.27,9.69,-0.08,-0.27,9.69
1777323589.7561374,-0.08,-0.34,9.73,-0.08,-0.34,9.73
1777323589.7691386,-0.08,-0.23,9.69,-0.08,-0.23,9.69
1777323589.7841365,-0.11,-0.19,9.73,-0.11,-0.19,9.73
1777323589.7981372,-0.15,-0.42,9.65,-0.15,-0.42,9.65
1777323589.8121397,-0.08,-0.3,9.69,-0.08,-0.3,9.69
1777323589.8251114,-0.04,-0.3,9.73,-0.04,-0.3,9.73
1777323589.838153,-0.08,-0.15,9.65,-0.08,-0.15,9.65
1777323589.8531365,-0.08,-0.3,9.69,-0.08,-0.3,9.69
1777323589.8671384,-0.11,-0.34,9.73,-0.11,-0.34,9.73
