angle,distance,unix_time
158.453125,1.12525,1776792745.907548
162.46875,2.9275,1776792745.9147334
163.6875,2.90825,1776792745.9219189
166.0,3.885,1776792745.9291046
167.171875,3.88725,1776792745.93629
168.40625,3.87425,1776792745.9434755
169.578125,3.8645,1776792745.950661
170.78125,3.8945,1776792745.9578464
171.96875,4.2205,1776792745.9650319
173.296875,2.967,1776792745.9722176
174.390625,3.9155,1776792745.979403
175.609375,3.941,1776792745.9865885
176.8125,3.97,1776792745.993774
178.015625,3.95275,1776792746.0009594
179.1875,3.97375,1776792746.0081449
180.375,3.97675,1776792746.0153306
181.59375,3.991,1776792746.022516
182.78125,4.01,1776792746.0297015
185.1875,3.98275,1776792746.036887
186.40625,3.997,1776792746.0440724
188.828125,3.59875,1776792746.0512578
190.015625,3.89225,1776792746.0584435
191.21875,3.9625,1776792746.065629
192.40625,3.9805,1776792746.0728145
193.609375,4.013,1776792746.08
194.796875,4.054,1776792746.0871854
196.0,4.087,1776792746.0943708
197.1875,4.15975,1776792746.1015565
198.390625,4.1845,1776792746.108742
199.578125,4.21725,1776792746.1159275
222.9375,1.775,1776792746.123113
224.171875,1.739,1776792746.1302984
228.21875,0.4125,1776792746.1374838
229.484375,0.4035,1776792746.1446695
230.796875,0.3955,1776792746.151855
231.984375,0.39275,1776792746.1590405
233.15625,0.37425,1776792746.166226
234.40625,0.365,1776792746.1734114
235.984375,0.36075,1776792746.1805968
236.84375,0.35475,1776792746.1877825
238.640625,0.35275,1776792746.194968
239.546875,0.34925,1776792746.2021534
241.09375,0.34625,1776792746.209339
241.984375,0.3435,1776792746.2165244
243.0,0.34125,1776792746.2237098
244.34375,0.3385,1776792746.2308955
245.53125,0.3365,1776792746.238081
247.03125,0.33425,1776792746.2452664
248.1875,0.33225,1776792746.252452
249.46875,0.33075,1776792746.2596374
251.78125,0.3455,1776792746.2668228
252.859375,0.34475,1776792746.2740085
253.859375,0.3435,1776792746.281194
255.15625,0.34275,1776792746.2883794
256.359375,0.341,1776792746.295565
262.109375,4.05875,1776792746.3027503
263.296875,4.065,1776792746.3099358
264.5,4.0895,1776792746.3171215
313.78125,2.89825,1776792746.324307
315.0,2.761,1776792746.3314924
316.171875,2.873,1776792746.338678
317.4375,2.5205,1776792746.3458633
318.625,2.58,1776792746.3530488
343.984375,1.9985,1776792746.3602345
345.21875,1.86875,1776792746.36742
346.421875,1.96175,1776792746.3746054
347.5,1.911,1776792746.3817909
348.75,1.90825,1776792746.3889763
349.875,1.95875,1776792746.3961618
351.09375,1.97375,1776792746.4033475
352.28125,2.01125,1776792746.410533
353.28125,2.64525,1776792746.4177184
356.96875,2.273,1776792746.4249039
0.671875,1.87325,1776792746.4320893
23.375,2.13,1776792746.4392748
24.5625,2.17475,1776792746.4464605
25.671875,2.51225,1776792746.453646
26.921875,2.34675,1776792746.4608314
28.15625,2.334,1776792746.4680169
33.78125,5.53375,1776792746.4752023
49.6875,2.20775,1776792746.4823878
50.921875,2.16175,1776792746.4895735
52.078125,2.18475,1776792746.496759
62.453125,1.05275,1776792746.5039444
64.890625,1.04175,1776792746.5111299
66.125,1.035,1776792746.5183153
67.25,1.027,1776792746.5255008
68.484375,1.0235,1776792746.5326865
69.6875,1.0195,1776792746.539872
70.875,1.0155,1776792746.5470574
72.078125,1.0125,1776792746.5542428
73.328125,1.00775,1776792746.5614283
74.546875,1.00625,1776792746.5686138
75.71875,1.00475,1776792746.5757995
76.90625,1.003,1776792746.582985
78.15625,1.003,1776792746.5901704
79.296875,1.00425,1776792746.5973558
80.53125,1.0045,1776792746.6045413
81.671875,1.00525,1776792746.611727
84.046875,0.57025,1776792746.6189125
85.171875,0.5725,1776792746.626098
86.203125,0.57225,1776792746.6332834
